COMID,REGIONID,WETTED_WIDTH_M
1698788,Region01,0
931020014,Region01,0
1713348,Region01,29.23
1711762,Region01,0
720066,Region01,5.71
718566,Region01,0
718574,Region01,5.06
718606,Region01,0
718628,Region01,0
1712964,Region01,31.58
1702738,Region01,0
1702700,Region01,0
1702694,Region01,0
1713334,Region01,31.51
1711130,Region01,30.72
1698784,Region01,0
1700442,Region01,0
1713098,Region01,6.89
1713124,Region01,3.32
719974,Region01,6.92
1711818,Region01,0
718632,Region01,0
1712804,Region01,31.11
719952,Region01,4.4
718626,Region01,0
1702692,Region01,0
1702690,Region01,0
1702670,Region01,0
1702660,Region01,0
1702650,Region01,0
1700424,Region01,0
1711758,Region01,0
1700422,Region01,0
1700450,Region01,0
1700440,Region01,0
1713176,Region01,15.05
1713150,Region01,14.6
720100,Region01,0
719950,Region01,4.65
1713442,Region01,68.12
1711246,Region01,31.04
1711208,Region01,30.87
718972,Region01,0
719998,Region01,4.97
1702646,Region01,0
1715110,Region01,31.04
1702668,Region01,0
1700438,Region01,0
1700434,Region01,0
1700428,Region01,0
1702390,Region01,0
931020016,Region01,0
1713474,Region01,71.9
1713354,Region01,31.57
719906,Region01,0
720064,Region01,0
718600,Region01,2.85
1712816,Region01,28.81
718598,Region01,4.32
1702642,Region01,0
1702640,Region01,0
1702618,Region01,0
1702388,Region01,0
1702374,Region01,0
1702368,Region01,0
1702366,Region01,0
1713136,Region01,5.29
719926,Region01,5.69
720198,Region01,0
720032,Region01,5.54
718612,Region01,5.15
718974,Region01,5.19
718672,Region01,2.64
718616,Region01,3.05
1702586,Region01,0
1702562,Region01,0
1702546,Region01,0
1702542,Region01,0
1702518,Region01,0
1702512,Region01,0
1702358,Region01,0
1702354,Region01,0
1698780,Region01,0
1698766,Region01,0
1698764,Region01,0
1713168,Region01,14
1713118,Region01,9.36
720082,Region01,0
719972,Region01,4.95
719452,Region01,0
718980,Region01,4.19
718594,Region01,3.34
718578,Region01,0
166195820,Region01,0
720168,Region01,0
719964,Region01,3.58
1702510,Region01,0
1702508,Region01,0
718904,Region01,4.78
1711218,Region01,27.19
1713514,Region01,31.58
1711188,Region01,28.19
1713470,Region01,71.87
1713448,Region01,68.52
719450,Region01,0
719960,Region01,6.87
718580,Region01,3.3
718622,Region01,2.9
719348,Region01,0
718584,Region01,5
1702500,Region01,0
1702498,Region01,0
1711170,Region01,28.09
718886,Region01,0
718896,Region01,0
718914,Region01,5.17
166195825,Region01,5.02
720070,Region01,0
719908,Region01,0
720202,Region01,0
720206,Region01,0
718614,Region01,5.56
718642,Region01,8.61
718978,Region01,9.57
718652,Region01,9.29
1712854,Region01,31.64
719928,Region01,5.78
1702494,Region01,0
1702490,Region01,0
1702484,Region01,0
1702480,Region01,0
1702468,Region01,0
718918,Region01,3.3
718366,Region01,2.6
718368,Region01,3.31
719446,Region01,0
1713128,Region01,10.27
1713134,Region01,6.73
720102,Region01,0
719984,Region01,5.42
718666,Region01,4.51
721622,Region01,4.64
719914,Region01,4.99
719936,Region01,3.43
720002,Region01,5.25
719978,Region01,3.78
1702466,Region01,0
1702464,Region01,0
1702448,Region01,0
1702438,Region01,0
718380,Region01,3.61
719444,Region01,0
718358,Region01,3.37
718444,Region01,0
1713454,Region01,68.44
1713174,Region01,14.78
1713332,Region01,31.51
720076,Region01,0
719924,Region01,5.89
718970,Region01,0
718644,Region01,0
719910,Region01,2.27
720158,Region01,5
1702416,Region01,0
1702414,Region01,0
1702408,Region01,0
718464,Region01,3.98
718540,Region01,0
718556,Region01,0
166195824,Region01,6.37
1713468,Region01,71.69
719916,Region01,5.29
1713358,Region01,28.98
720022,Region01,4.76
720018,Region01,3.5
719912,Region01,3.21
718660,Region01,3.22
1713166,Region01,8.17
1711742,Region01,51.14
1711150,Region01,51.01
1712952,Region01,6.12
1712918,Region01,8.26
1712870,Region01,9.17
1712800,Region01,3.03
1713030,Region01,3.91
1713078,Region01,3.58
1712966,Region01,3.5
1711500,Region01,3.93
1711596,Region01,0
1713322,Region01,5.49
1712848,Region01,6.7
1712144,Region01,13.27
1712142,Region01,14.45
1711592,Region01,0
1711664,Region01,30.43
1711486,Region01,7.56
1711068,Region01,3.55
1711464,Region01,8.18
1712862,Region01,9.21
1712834,Region01,9.4
1712824,Region01,11.04
1713188,Region01,5.19
1713104,Region01,5.13
1713500,Region01,0
1713126,Region01,5.78
1713436,Region01,0
1713172,Region01,4.65
1713390,Region01,31.53
1713064,Region01,31.9
1712828,Region01,3.7
1713074,Region01,5.73
1712892,Region01,0
1713196,Region01,7.43
1712148,Region01,14.88
1712154,Region01,15.79
1710910,Region01,6.98
1712432,Region01,0
1711442,Region01,5.2
1711796,Region01,0
1711158,Region01,9.24
1711672,Region01,0
