"Species","Equilibrium","Periodic","Opportunist","GameFish","HUC01","HUC02","HUC03","HUC04","HUC05","HUC06","HUC07","HUC08","HUC09","HUC10","HUC11","HUC12","HUC13","HUC14","HUC15","HUC16","HUC17","HUC18"
"Fundulus heteroclitus",0.112579789378497,0.228193138497105,0.657971265256873,"Non-game","Native","Non-native","","","","","","","","","","","","","","","",""
"Fundulus lineolatus",0.214404260148585,0.113900187566218,0.670493809947016,"Non-game","","","Non-native","","","","","","","","","","","","","","",""
"Fundulus notatus",0.216579740094017,0.104197016039555,0.678024603639548,"Non-game","","","Native","Native","Non-native","Native","Native","Native","","Non-native","Non-native","Native","","","","","",""
"Fundulus olivaceus",0.18321682141104,0.154838957109305,0.660722285307909,"Non-game","","","Native","","Native","Native","Native","Native","","Native","Non-native","Non-native","","","","","",""
"Fundulus rathbuni",0.16298185167696,0.193443047514278,0.642334341757867,"Non-game","","Non-native","Non-native","","","","","","","","","","","","","","",""
"Fundulus sciadicus",0.1962979411632,0.115821412497409,0.686674781263449,"Non-game","","","","","","","","","","Non-native","","","","","","","",""
"Fundulus stellifer",0.195426226883105,0.130206265361796,0.673156774825758,"Non-game","","","Native","","","","","","","","","","","","","","",""
"Fundulus zebrinus",0.205125025376977,0.139797623985698,0.653864009514353,"Non-game","","","","","","","","","","Non-native","Native","Native","Non-native","","","","",""
"Gambusia affinis",0.129397041460646,0.0583433113206936,0.811078781264821,"Non-game","Non-native","Non-native","Non-native","","Non-native","Native","Non-native","Native","","Non-native","Non-native","Native","Non-native","","Non-native","Non-native","Non-native","Non-native"
"Gasterosteus aculeatus",0.185505485394044,0.194219303177753,0.61906066277466,"Non-game","Native","","","","","","","","","","","","","","","","Native","Native"
"Gila atraria",0,0.636111864174708,0.362455264461108,"Non-game","","","","","","","","","","","","","","Non-native","","Native","Native",""
"Gila pandora",0,0.575976448610475,0.422620137142683,"Non-game","","","","","","","","","","","","","Native","","","","",""
"Gila robusta",0.0947553773052382,0.479817518222415,0.424059997323047,"Non-game","","","","","","","","","","","","","","Native","Native","","",""
"Hemitremia flammea",0.0886025146049532,0.333173633134059,0.576919138169148,"Non-game","","","Non-native","","","Non-native","","","","","","","","","","","",""
