"Scientific.Name","HUC2","Native"
"Lepisosteus.osseus","10","Non-native"
"Lepisosteus.osseus","11","Non-native"
"Lepisosteus.platostomus","08","Non-native"
"Lepisosteus.platostomus","10","Non-native"
"Lepisosteus.platostomus","11","Non-native"
"Lepisosteus.platostomus","12","Non-native"
"Lepomis.auritus","01","Non-native"
"Lepomis.auritus","03","Non-native"
"Lepomis.auritus","05","Non-native"
"Lepomis.auritus","06","Non-native"
"Lepomis.auritus","12","Non-native"
"Lepomis.auritus","13","Non-native"
"Lepomis.cyanellus","01","Non-native"
"Lepomis.cyanellus","02","Non-native"
"Lepomis.cyanellus","03","Non-native"
"Lepomis.cyanellus","04","Non-native"
"Lepomis.cyanellus","05","Non-native"
"Lepomis.cyanellus","06","Non-native"
"Lepomis.cyanellus","07","Non-native"
"Lepomis.cyanellus","09","Non-native"
"Lepomis.cyanellus","10","Non-native"
"Lepomis.cyanellus","11","Non-native"
"Lepomis.cyanellus","13","Non-native"
"Lepomis.cyanellus","14","Non-native"
"Lepomis.cyanellus","15","Non-native"
"Lepomis.cyanellus","16","Non-native"
"Lepomis.cyanellus","17","Non-native"
"Lepomis.cyanellus","18","Non-native"
"Lepomis.gibbosus","02","Non-native"
"Lepomis.gibbosus","05","Non-native"
"Lepomis.gibbosus","10","Non-native"
"Lepomis.gibbosus","11","Non-native"
"Lepomis.gibbosus","15","Non-native"
"Lepomis.gibbosus","17","Non-native"
"Lepomis.gulosus","02","Non-native"
"Lepomis.gulosus","03","Non-native"
"Lepomis.gulosus","04","Non-native"
"Lepomis.gulosus","05","Non-native"
"Lepomis.gulosus","06","Non-native"
"Lepomis.gulosus","07","Non-native"
"Lepomis.gulosus","10","Non-native"
"Lepomis.gulosus","11","Non-native"
"Lepomis.gulosus","12","Non-native"
"Lepomis.gulosus","13","Non-native"
"Lepomis.gulosus","17","Non-native"
"Lepomis.humilis","03","Non-native"
"Lepomis.humilis","04","Non-native"
"Lepomis.humilis","05","Non-native"
"Lepomis.humilis","09","Non-native"
"Lepomis.humilis","10","Non-native"
"Lepomis.humilis","12","Non-native"
"Lepomis.macrochirus","01","Non-native"
"Lepomis.macrochirus","02","Non-native"
"Lepomis.macrochirus","03","Non-native"
"Lepomis.macrochirus","04","Non-native"
"Lepomis.macrochirus","05","Non-native"
"Lepomis.macrochirus","07","Non-native"
"Lepomis.macrochirus","09","Non-native"
"Lepomis.macrochirus","10","Non-native"
"Lepomis.macrochirus","11","Non-native"
"Lepomis.macrochirus","16","Non-native"
"Lepomis.macrochirus","17","Non-native"
"Lepomis.macrochirus","18","Non-native"
"Lepomis.marginatus","03","Non-native"
"Lepomis.megalotis","02","Non-native"
"Lepomis.megalotis","03","Non-native"
"Lepomis.megalotis","04","Non-native"
"Lepomis.megalotis","05","Non-native"
"Lepomis.megalotis","07","Non-native"
"Lepomis.megalotis","10","Non-native"
"Lepomis.megalotis","11","Non-native"
"Lepomis.microlophus","02","Non-native"
"Lepomis.microlophus","03","Non-native"
"Lepomis.microlophus","04","Non-native"
"Lepomis.microlophus","05","Non-native"
"Lepomis.microlophus","07","Non-native"
"Lepomis.microlophus","10","Non-native"
"Lepomis.microlophus","11","Non-native"
"Lepomis.microlophus","12","Non-native"
"Lepomis.microlophus","16","Non-native"
"Lepomis.microlophus","17","Non-native"
"Lepomis.microlophus","18","Non-native"
"Lepomis.miniatus","03","Non-native"
"Lepomis.punctatus","03","Non-native"
"Lepomis.punctatus","08","Non-native"
"Lepomis.punctatus","11","Non-native"
"Lepomis.punctatus","12","Non-native"
"Lota.lota","07","Non-native"
"Lota.lota","09","Non-native"
"Lota.lota","14","Non-native"
"Luxilus.albeolus","05","Non-native"
"Luxilus.cerasinus","02","Non-native"
"Luxilus.cerasinus","03","Non-native"
"Luxilus.cerasinus","05","Non-native"
"Luxilus.chrysocephalus","02","Non-native"
"Luxilus.coccogenis","03","Non-native"
"Luxilus.cornutus","01","Non-native"
"Luxilus.cornutus","03","Non-native"
"Luxilus.cornutus","04","Non-native"
"Luxilus.cornutus","05","Non-native"
"Luxilus.cornutus","07","Non-native"
"Luxilus.cornutus","08","Non-native"
"Luxilus.cornutus","10","Non-native"
"Luxilus.pilsbryi","10","Non-native"
"Luxilus.pilsbryi","11","Non-native"
"Luxilus.zonatus","07","Non-native"
"Luxilus.zonatus","10","Non-native"
"Luxilus.zonatus","11","Non-native"
"Luxilus.zonistius","03","Non-native"
"Lythrurus.ardens","03","Non-native"
"Lythrurus.ardens","05","Non-native"
"Lythrurus.atrapiculus","03","Non-native"
"Lythrurus.bellus","03","Non-native"
"Lythrurus.fasciolaris","03","Non-native"
"Lythrurus.fasciolaris","05","Non-native"
"Lythrurus.lirus","06","Non-native"
"Lythrurus.roseipinnis","03","Non-native"
"Lythrurus.roseipinnis","08","Non-native"
"Lythrurus.umbratilis","04","Non-native"
"Lythrurus.umbratilis","05","Non-native"
"Lythrurus.umbratilis","07","Non-native"
"Lythrurus.umbratilis","08","Non-native"
"Lythrurus.umbratilis","10","Non-native"
"Lythrurus.umbratilis","11","Non-native"
"Lythrurus.umbratilis","12","Non-native"
"Macrhybopsis.hyostoma","07","Non-native"
"Macrhybopsis.hyostoma","10","Non-native"
"Macrhybopsis.hyostoma","11","Non-native"
"Macrhybopsis.storeriana","03","Non-native"
"Macrhybopsis.storeriana","06","Non-native"
"Macrhybopsis.storeriana","07","Non-native"
"Macrhybopsis.storeriana","08","Non-native"
"Macrhybopsis.storeriana","10","Non-native"
"Macrhybopsis.storeriana","11","Non-native"
"Margariscus.margarita","01","Non-native"
"Margariscus.margarita","04","Non-native"
"Margariscus.margarita","07","Non-native"
"Margariscus.margarita","09","Non-native"
"Margariscus.margarita","10","Non-native"
"Menidia.beryllina","03","Non-native"
"Menidia.beryllina","11","Non-native"
"Menidia.beryllina","12","Non-native"
"Menidia.beryllina","18","Non-native"
"Micropterus.coosae","18","Non-native"
"Micropterus.dolomieu","01","Non-native"
"Micropterus.dolomieu","02","Non-native"
"Micropterus.dolomieu","03","Non-native"
"Micropterus.dolomieu","04","Non-native"
"Micropterus.dolomieu","05","Non-native"
"Micropterus.dolomieu","09","Non-native"
"Micropterus.dolomieu","10","Non-native"
"Micropterus.dolomieu","11","Non-native"
"Micropterus.dolomieu","12","Non-native"
"Micropterus.dolomieu","14","Non-native"
"Micropterus.dolomieu","15","Non-native"
"Micropterus.dolomieu","16","Non-native"
"Micropterus.dolomieu","17","Non-native"
"Micropterus.dolomieu","18","Non-native"
"Micropterus.punctulatus","02","Non-native"
"Micropterus.punctulatus","03","Non-native"
"Micropterus.punctulatus","04","Non-native"
"Micropterus.punctulatus","05","Non-native"
"Micropterus.punctulatus","07","Non-native"
"Micropterus.punctulatus","10","Non-native"
"Micropterus.punctulatus","11","Non-native"
"Micropterus.punctulatus","12","Non-native"
"Micropterus.punctulatus","18","Non-native"
"Micropterus.salmoides","01","Non-native"
"Micropterus.salmoides","02","Non-native"
"Micropterus.salmoides","04","Non-native"
