"SampleID","Npass"
"BDB-000031822",1
"BDB-000031823",1
"BDB-000031824",1
"BDB-000031825",1
"BDB-000031826",1
"BDB-000031827",1
"BDB-000031828",1
"BDB-000031829",2
"BDB-000031830",3
"BDB-000031831",3
"BDB-000031848",2
"BDB-000031849",1
"BDB-000031859",1
"BDB-000031867",1
"BDB-000031871",1
"BDB-000031881",2
"BDB-000031883",2
"BDB-000031925",1
"BDB-000031926",1
"BDB-000031927",1
"BDB-000031930",1
"BDB-000031931",1
"BDB-000031932",1
"BDB-000031933",1
"BDB-000031934",1
"BDB-000031941",1
"BDB-000031942",1
"BDB-000031943",1
"BDB-000031944",2
"BDB-000031971",1
"BDB-000031972",1
"BDB-000031973",1
"BDB-000031974",1
"BDB-000031975",1
"BDB-000031976",1
"BDB-000031977",1
"BDB-000031978",1
"BDB-000031979",1
"BDB-000031980",1
"BDB-000031981",1
"BDB-000031982",1
"BDB-000031983",1
"BDB-000031984",1
"BDB-000031985",1
"BDB-000031986",1
"BDB-000031987",1
"BDB-000031988",1
"BDB-000031989",1
"BDB-000031990",1
"BDB-000031991",1
"BDB-000031992",1
"BDB-000031993",1
"BDB-000031994",1
"BDB-000031995",1
"BDB-000031996",1
"BDB-000031997",1
"BDB-000031998",1
"BDB-000031999",1
"BDB-000032000",1
"BDB-000032001",1
"BDB-000032002",1
"BDB-000032003",1
"BDB-000032004",1
"BDB-000032005",1
"BDB-000032006",1
"BDB-000032007",1
"BDB-000032008",1
"BDB-000032009",1
"BDB-000032010",1
"BDB-000032019",2
"BDB-000032022",2
"BDB-000032024",2
"BDB-000032025",2
"BDB-000032027",2
"BDB-000032028",2
"BDB-000032030",2
"BDB-000032031",2
"BDB-000032033",2
"BDB-000032035",2
"BDB-000032036",2
"BDB-000032037",2
"BDB-000032038",2
"BDB-000032039",2
"BDB-000032040",2
"BDB-000032041",2
"BDB-000032042",2
"BDB-000032043",2
"BDB-000032044",2
"BDB-000032045",1
"BDB-000032046",1
"BDB-000032047",1
"BDB-000032048",2
"BDB-000032049",2
"BDB-000032050",2
"BDB-000032051",2
"BDB-000032053",2
"BDB-000032054",3
"BDB-000032055",3
"BDB-000032056",3
"BDB-000032057",3
"BDB-000032058",2
"BDB-000032059",3
"BDB-000032060",2
"BDB-000032061",2
"BDB-000032062",2
"BDB-000032064",2
"BDB-000032065",2
"BDB-000032067",3
"BDB-000032131",2
"BDB-000032135",2
"BDB-000032139",1
"BDB-000032191",2
"BDB-000032192",3
"BDB-000032193",3
"BDB-000032194",2
"BDB-000032223",2
"BDB-000032224",2
"BDB-000032226",2
"BDB-000032228",2
"BDB-000032231",2
"BDB-000032232",2
"BDB-000032233",2
"BDB-000032234",2
"BDB-000032235",2
"BDB-000032239",2
"BDB-000032245",2
"BDB-000032248",2
"BDB-000032249",2
"BDB-000032251",2
"BDB-000032253",5
"BDB-000032254",3
"BDB-000032255",2
"BDB-000032256",2
"BDB-000032258",2
"BDB-000032259",1
"BDB-000032260",3
"BDB-000032261",3
"BDB-000032262",2
"BDB-000032263",3
"BDB-000032264",2
"BDB-000032265",2
"BDB-000032266",2
"BDB-000032267",2
"BDB-000032268",2
"BDB-000032269",1
"BDB-000032270",1
"BDB-000032271",1
"BDB-000032272",1
"BDB-000032273",1
"BDB-000032274",2
"BDB-000032275",1
"BDB-000032276",1
"BDB-000032277",1
"BDB-000032278",1
"BDB-000032279",1
"BDB-000032290",1
